message;severity;node;stamp;location
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259545.767763393";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259545.661694674";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259545.555251329";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259545.448610055";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259545.342274264";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259545.235700735";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259545.128571343";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259545.022057458";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259544.914476754";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259544.807174576";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259544.700138981";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259544.594366738";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259544.487307048";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259544.381968796";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259544.275833939";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259544.170109816";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259544.064656886";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
"Lookahead point: 0.72, -0.39";"20";"ppo_training_node";"1761259543.958805583";"/home/ROS/ros_ws/install/ppo_training/lib/python3.10/site-packages/ppo_training/env_wrapper.py:compute_lookahead:279"
