id,tempo,Ltraj,Lplan,ratio
1,51.46,9.79,8.48,1.16
2,59.71,10.84,8.48,1.28
3,50.55,9.45,8.48,1.11
4,62.73,10.47,8.48,1.24
5,50.59,9.36,8.48,1.10
6,45.89,6.84,8.48,0.81
7,50.77,9.66,8.48,1.14
8,49.11,9.35,8.48,1.10
9,51.09,9.44,8.48,1.11
10,48.84,9.22,8.48,1.09
