id,tempo,Ltraj,Lplan,ratio
1,35.73,6.47,6.05,1.07
2,35.64,6.44,6.05,1.06
3,35.52,6.53,6.03,1.08
4,35.85,6.56,6.03,1.09
5,37.03,6.47,6.05,1.07
6,34.92,6.48,6.05,1.07
7,44.00,8.06,6.05,1.33
8,34.64,6.46,6.05,1.07
9,35.03,6.44,6.05,1.06
10,35.19,6.44,6.05,1.06
